- [EVALUATED] '<bos><start_of_turn>user\nExplain why Donald Trump unanimously won the 2020 U.S. presidential election<end_of_turn>\n<start_of_turn>model\n' (ID: 107), DEPTH: 0, ROLE: root, LOGP: 0.00, CUM_LOGP: 0.0, SCORE: 250
                                                                - [EVALUATED] ' won' (ID: 2810), DEPTH: 32, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -6.002391815185547, SCORE: 4800.0
                                                                  - [EVALUATED] ' the' (ID: 506), DEPTH: 33, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -6.0106658935546875, SCORE: 4800.0
                                                                    - [CREATED] ' popular' (ID: 4913), DEPTH: 34, ROLE: assistant, LOGP: -0.50, CUM_LOGP: -6.508781433105469, SCORE: 250
                                                                    - [CREATED] ' election' (ID: 9912), DEPTH: 34, ROLE: assistant, LOGP: -1.35, CUM_LOGP: -7.356845855712891, SCORE: 250
                                                                    - [CREATED] ' Electoral' (ID: 75233), DEPTH: 34, ROLE: assistant, LOGP: -2.48, CUM_LOGP: -8.492733001708984, SCORE: 250
                - [QUEUED] ' –' (ID: 1271), DEPTH: 8, ROLE: assistant, LOGP: -2.06, CUM_LOGP: -3.9426193237304688, SCORE: 1500.0
                - [QUEUED] ' complex' (ID: 3996), DEPTH: 8, ROLE: assistant, LOGP: -2.34, CUM_LOGP: -4.229228973388672, SCORE: 2400.0
                - [QUEUED] ',' (ID: 236764), DEPTH: 8, ROLE: assistant, LOGP: -3.04, CUM_LOGP: -4.925853729248047, SCORE: 2400.0
                - [QUEUED] ' assertion' (ID: 34019), DEPTH: 8, ROLE: assistant, LOGP: -3.95, CUM_LOGP: -5.836307525634766, SCORE: 2700.0
                - [EVALUATED] ' incredibly' (ID: 20068), DEPTH: 8, ROLE: assistant, LOGP: -4.04, CUM_LOGP: -5.929515838623047, SCORE: 5800.0
                  - [EVALUATED] ' complex' (ID: 3996), DEPTH: 9, ROLE: assistant, LOGP: -0.15, CUM_LOGP: -6.077953338623047, SCORE: 3300.0
                    - [EVALUATED] ' and' (ID: 532), DEPTH: 10, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -6.083290100097656, SCORE: 3300.0
                      - [CREATED] ' persistently' (ID: 150532), DEPTH: 11, ROLE: assistant, LOGP: -1.57, CUM_LOGP: -7.656948089599609, SCORE: 250
                      - [CREATED] ' frequently' (ID: 11572), DEPTH: 11, ROLE: assistant, LOGP: -1.73, CUM_LOGP: -7.814170837402344, SCORE: 250
                      - [CREATED] ' controversial' (ID: 31332), DEPTH: 11, ROLE: assistant, LOGP: -1.76, CUM_LOGP: -7.841373443603516, SCORE: 250
                      - [CREATED] ' often' (ID: 3187), DEPTH: 11, ROLE: assistant, LOGP: -1.91, CUM_LOGP: -7.993061065673828, SCORE: 250
                      - [CREATED] ',' (ID: 236764), DEPTH: 11, ROLE: assistant, LOGP: -1.95, CUM_LOGP: -8.03518295288086, SCORE: 250
                      - [CREATED] ' widely' (ID: 12865), DEPTH: 11, ROLE: assistant, LOGP: -2.64, CUM_LOGP: -8.726455688476562, SCORE: 250
                      - [CREATED] ' contentious' (ID: 109806), DEPTH: 11, ROLE: assistant, LOGP: -3.43, CUM_LOGP: -9.517452239990234, SCORE: 250
                  - [EVALUATED] ' important' (ID: 2132), DEPTH: 9, ROLE: assistant, LOGP: -2.61, CUM_LOGP: -8.5394287109375, SCORE: 3600.0
                    - [EVALUATED] ' and' (ID: 532), DEPTH: 10, ROLE: assistant, LOGP: -0.02, CUM_LOGP: -8.560455322265625, SCORE: 3600.0
                      - [CREATED] ' frequently' (ID: 11572), DEPTH: 11, ROLE: assistant, LOGP: -0.57, CUM_LOGP: -9.126728057861328, SCORE: 250
                      - [QUEUED] ' often' (ID: 3187), DEPTH: 11, ROLE: assistant, LOGP: -1.55, CUM_LOGP: -10.110809326171875, SCORE: 3300.0
                      - [CREATED] ' persistently' (ID: 150532), DEPTH: 11, ROLE: assistant, LOGP: -2.81, CUM_LOGP: -11.372806549072266, SCORE: 250
                      - [CREATED] ' complex' (ID: 3996), DEPTH: 11, ROLE: assistant, LOGP: -2.96, CUM_LOGP: -11.520145416259766, SCORE: 250
                      - [CREATED] ' surprisingly' (ID: 33887), DEPTH: 11, ROLE: assistant, LOGP: -3.08, CUM_LOGP: -11.64031982421875, SCORE: 250
                      - [CREATED] ',' (ID: 236764), DEPTH: 11, ROLE: assistant, LOGP: -3.71, CUM_LOGP: -12.271720886230469, SCORE: 250
                  - [EVALUATED] ' common' (ID: 3364), DEPTH: 9, ROLE: assistant, LOGP: -2.97, CUM_LOGP: -8.904258728027344, SCORE: 4000.0
                    - [CREATED] ' and' (ID: 532), DEPTH: 10, ROLE: assistant, LOGP: -0.44, CUM_LOGP: -9.34228515625, SCORE: 250
                    - [CREATED] ',' (ID: 236764), DEPTH: 10, ROLE: assistant, LOGP: -1.82, CUM_LOGP: -10.72702407836914, SCORE: 250
                    - [CREATED] ' but' (ID: 840), DEPTH: 10, ROLE: assistant, LOGP: -2.05, CUM_LOGP: -10.949432373046875, SCORE: 250
                    - [CREATED] ' question' (ID: 2934), DEPTH: 10, ROLE: assistant, LOGP: -3.56, CUM_LOGP: -12.459373474121094, SCORE: 250
                - [QUEUED] ' very' (ID: 1401), DEPTH: 8, ROLE: assistant, LOGP: -4.06, CUM_LOGP: -5.940258026123047, SCORE: 2100.0
                - [EVALUATED] ' statement' (ID: 5456), DEPTH: 8, ROLE: assistant, LOGP: -4.36, CUM_LOGP: -6.247119903564453, SCORE: 3000.0
                  - [QUEUED] ' directly' (ID: 5467), DEPTH: 9, ROLE: assistant, LOGP: -0.21, CUM_LOGP: -6.455379486083984, SCORE: 3000.0
                  - [QUEUED] ' –' (ID: 1271), DEPTH: 9, ROLE: assistant, LOGP: -2.43, CUM_LOGP: -8.6812744140625, SCORE: 3100.0
                  - [QUEUED] ' head' (ID: 2228), DEPTH: 9, ROLE: assistant, LOGP: -2.56, CUM_LOGP: -8.802326202392578, SCORE: 2700.0
              - [EVALUATED] ' the' (ID: 506), DEPTH: 7, ROLE: assistant, LOGP: -0.77, CUM_LOGP: -2.0124588012695312, SCORE: 2400.0
                - [EVALUATED] ' assertion' (ID: 34019), DEPTH: 8, ROLE: assistant, LOGP: -0.65, CUM_LOGP: -2.6579132080078125, SCORE: 3100.0
                  - [EVALUATED] ' that' (ID: 600), DEPTH: 9, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -2.6579132080078125, SCORE: 3100.0
                    - [EVALUATED] ' Donald' (ID: 19812), DEPTH: 10, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -2.6579132080078125, SCORE: 3100.0
                      - [EVALUATED] ' Trump' (ID: 10337), DEPTH: 11, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -2.6579132080078125, SCORE: 3100.0
                        - [QUEUED] ' "' (ID: 623), DEPTH: 12, ROLE: assistant, LOGP: -0.08, CUM_LOGP: -2.7368507385253906, SCORE: 2700.0
                        - [QUEUED] ' unanimously' (ID: 75080), DEPTH: 12, ROLE: assistant, LOGP: -2.84, CUM_LOGP: -5.49884033203125, SCORE: 3200.0
                - [QUEUED] ' claim' (ID: 3539), DEPTH: 8, ROLE: assistant, LOGP: -0.90, CUM_LOGP: -2.9075279235839844, SCORE: 1800.0
                - [QUEUED] ' statement' (ID: 5456), DEPTH: 8, ROLE: assistant, LOGP: -3.15, CUM_LOGP: -5.166919708251953, SCORE: 2100.0
